CPU,RAM,Storage,GPU,ScreenSize,ScreenType,TouchType,Form,Region,Price in INR
25,3,56,19,17,FHD,Touch,Laptop,IND,470506.12
20,7,54,26,17,FHD,Non-Touch,Laptop,AUS,956467.47
20,11,4,28,13,UHD,Touch,Laptop,FRA,203753.319
12,3,56,2,10,FHD,Non-Touch,Desktop,IND,443740.416
20,15,53,19,15,FHD,Non-Touch,Laptop,FRA,227882.319
25,15,70,28,23,FHD,Non-Touch,Desktop,CAN,275049.32
25,15,46,28,13,UHD,Touch,Laptop,AUS,401667.42
20,3,28,2,10,FHD,Non-Touch,Desktop,FRA,432443.263
25,15,16,17,10,FHD,Non-Touch,Desktop,FRA,368015.284
6,15,4,5,15,HD+,Non-Touch,Laptop,GER,635334.6468
22,3,52,18,17,FHD,Non-Touch,Laptop,BRA,682638.2916
19,3,16,11,10,FHD,Non-Touch,Desktop,IND,1326277.638
6,3,41,28,13,QHD+,Non-Touch,Laptop,IND,648304.272
25,15,41,28,13,FHD+,Touch,Laptop,AUS,374664.78
20,15,23,14,10,FHD,Non-Touch,Desktop,AUS,261912.42
22,3,18,3,10,FHD,Non-Touch,Desktop,IND,620174.016
20,3,4,7,17,FHD,Non-Touch,Laptop,FRA,437399.214
25,15,23,4,23,FHD,Touch,Desktop,USA,312856.992
12,7,52,10,15,FHD,Touch,Laptop,FRA,280419.3
20,15,54,28,15,FHD,Non-Touch,Laptop,AUS,399955.395
20,7,43,3,10,FHD,Non-Touch,Desktop,IND,950230.4
20,7,52,19,17,FHD,Non-Touch,Laptop,GER,750604.932
25,7,23,28,10,FHD,Non-Touch,Desktop,AUS,171727.605
42,1,40,28,15,HD,Touch,Laptop,FRA,111406.4
20,16,54,28,17,FHD,Touch,Laptop,FRA,328437.144
25,15,41,28,10,FHD,Non-Touch,Laptop,GBR,294009.534
20,15,23,28,10,FHD,Non-Touch,Desktop,FRA,240972.165
25,15,23,28,27,FHD,Non-Touch,Desktop,CAN,359919.56
20,15,23,19,15,FHD,Touch,Laptop,BRA,354486.7175
13,7,52,7,17,FHD,Non-Touch,Laptop,IND,751978.836
12,15,41,10,15,FHD,Non-Touch,Laptop,IND,161017.136
20,3,70,35,15,FHD,Non-Touch,Laptop,GER,265399.68
20,15,16,7,10,FHD,Non-Touch,Desktop,IND,526282.596
25,15,23,9,10,FHD,Non-Touch,Desktop,FRA,249827.095
25,15,23,28,15,UHD,Touch,Laptop,FRA,231704.067
20,3,56,14,17,FHD,Touch,Laptop,IND,448503.132
25,7,5,17,15,FHD,Non-Touch,Laptop,CAN,532151.62
20,3,54,29,15,FHD,Touch,Laptop,FRA,528906
20,15,4,7,17,FHD,Non-Touch,Laptop,BRA,438272.6173
25,16,23,28,23,FHD,Non-Touch,Desktop,FRA,174717.088
20,15,54,28,14,FHD,Non-Touch,Laptop,AUS,347211.48
12,3,31,7,10,FHD,Non-Touch,Desktop,FRA,449817.06
22,3,54,17,17,FHD,Non-Touch,Laptop,FRA,462305.074
22,3,54,17,15,FHD,Non-Touch,Laptop,FRA,503367.039
20,15,23,35,15,FHD,Non-Touch,Laptop,USA,226808.4218
25,3,23,28,23,FHD,Touch,Desktop,FRA,210200.991
20,3,16,19,10,FHD,Non-Touch,Desktop,CAN,534583.14
25,8,23,28,17,FHD,Non-Touch,Laptop,FRA,202297.025
10,3,23,14,10,FHD,Non-Touch,Desktop,FRA,287941.969
20,3,41,19,15,QHD,Touch,Laptop,IND,885455.48
42,15,23,28,10,FHD,Non-Touch,Laptop,FRA,119277.018
25,15,54,28,10,FHD,Non-Touch,Desktop,FRA,224172.011
20,15,54,28,15,FHD,Touch,Laptop,AUS,389976.615
25,15,54,28,15,FHD,Non-Touch,Laptop,AUS,284441.115
20,3,41,14,15,FHD,Touch,Laptop,GER,726371.7272
6,3,54,5,15,UHD,Non-Touch,Laptop,IND,614060.79
20,3,4,5,17,FHD,Non-Touch,Laptop,FRA,349870.5
25,3,56,28,10,FHD,Non-Touch,Desktop,IND,260502.6658
22,7,54,3,17,FHD,Non-Touch,Laptop,FRA,835376.906
20,7,28,7,15,FHD,Non-Touch,Laptop,FRA,606761.4
20,3,16,28,15,FHD,Non-Touch,Desktop,AUS,400980.405
20,3,41,26,17,FHD,Non-Touch,Laptop,BRA,850727.9851
20,7,44,11,10,FHD,Non-Touch,Desktop,IND,1088139.36
25,3,54,14,15,FHD,Non-Touch,Laptop,IND,800892.904
25,3,54,28,15,FHD,Non-Touch,Laptop,IND,728723.632
14,15,23,28,15,HD,Non-Touch,Laptop,FRA,108433.5
20,3,41,10,15,FHD,Non-Touch,Laptop,IND,510763.708
20,7,52,14,15,FHD,Non-Touch,Laptop,FRA,398846.7
20,15,41,28,17,FHD,Non-Touch,Laptop,BRA,356494.7733
20,3,4,5,15,FHD,Non-Touch,Laptop,USA,455160.384
22,15,54,12,10,FHD,Non-Touch,Desktop,FRA,402399.9
20,1,23,7,10,FHD,Non-Touch,Desktop,FRA,280346.85
22,1,23,17,10,FHD,Non-Touch,Desktop,FRA,367727.857
19,7,24,31,10,FHD,Non-Touch,Desktop,FRA,1337934.822
20,3,16,14,15,FHD,Non-Touch,Laptop,IND,521163.874
20,7,23,14,15,UHD,Touch,Laptop,IND,927924.27
20,13,41,28,15,FHD,Non-Touch,Laptop,CAN,350755.86
22,1,56,18,15,FHD,Non-Touch,Laptop,FRA,547078
15,13,23,28,10,FHD,Non-Touch,Desktop,USA,104322.456
22,15,41,26,10,FHD,Non-Touch,Desktop,FRA,602500.752
42,13,40,28,15,HD,Non-Touch,Laptop,CAN,167747.58
10,15,23,17,10,FHD,Non-Touch,Desktop,FRA,365480.794
25,15,54,28,15,UHD,Non-Touch,Laptop,FRA,258156.773
13,3,16,7,10,FHD,Non-Touch,Desktop,FRA,484046.773
42,13,23,28,14,HD,Non-Touch,Desktop,CHN,150752.07
25,15,41,28,14,FHD+,Non-Touch,Laptop,AUS,234311.175
10,3,23,19,15,FHD,Non-Touch,Laptop,FRA,332286.71
5,15,40,28,13,QHD+,Touch,Laptop,FRA,280727.664
20,15,54,28,15,UHD,Non-Touch,Laptop,BRA,566433.4984
20,3,16,4,17,FHD,Non-Touch,Laptop,USA,328740.1841
25,15,4,32,15,FHD,Non-Touch,Laptop,FRA,273066.71
1,3,10,32,15,QHD+,Non-Touch,Laptop,IND,2573527.726
20,3,53,7,10,FHD,Non-Touch,Desktop,CAN,603863.0598
25,16,4,14,15,FHD,Non-Touch,Laptop,FRA,307268.696
20,15,53,28,15,FHD,Non-Touch,Laptop,BRA,322731.0695
25,3,70,32,10,FHD,Non-Touch,Desktop,IND,354950.372
22,1,23,18,17,FHD,Non-Touch,Laptop,FRA,671996.64
25,15,23,28,15,FHD,Non-Touch,Laptop,GBR,371868
20,3,56,18,17,FHD,Touch,Laptop,IND,670812.772
25,15,23,19,10,FHD,Non-Touch,Desktop,AUS,334112.625
10,3,41,17,10,FHD,Non-Touch,Desktop,FRA,475128.654
1,7,23,28,15,FHD,Non-Touch,Laptop,CHN,1910563.2
20,3,70,10,15,UHD,Touch,Laptop,IND,1313437.468
25,7,40,28,12,QHD+,Touch,Laptop,FRA,307454.301
20,7,23,26,15,FHD,Non-Touch,Laptop,FRA,836916.584
6,3,54,19,10,FHD,Non-Touch,Desktop,BRA,478077.4117
35,15,40,10,13,FHD,Touch,Laptop,FRA,213881.605
20,3,56,3,15,FHD,Non-Touch,Laptop,AUS,993963.285
19,7,70,31,10,FHD,Non-Touch,Desktop,AUS,3404889.18
11,15,54,28,12,FHD+,Touch,Laptop,AUS,256673.655
20,3,40,18,17,FHD,Non-Touch,Laptop,CHN,1039348.8
5,15,23,28,15,HD+,Non-Touch,Laptop,GER,243028.24
20,15,54,5,15,FHD,Non-Touch,Laptop,AUS,399620.76
20,13,4,28,13,UHD,Touch,Laptop,FRA,371607.6
20,3,45,19,17,FHD,Non-Touch,Laptop,AUS,1140124.318
25,15,23,28,13,HD+,Non-Touch,Laptop,GER,189522.592
22,7,54,28,15,QHD+,Non-Touch,Laptop,IND,1430093.448
20,15,56,14,15,FHD,Non-Touch,Desktop,GER,396106.592
20,3,5,18,15,FHD,Non-Touch,Laptop,FRA,558876.507
6,15,23,29,15,HD,Non-Touch,Laptop,CHN,213708.726
14,15,23,28,15,FHD,Non-Touch,Laptop,CAN,172100.11
20,7,56,7,15,FHD,Non-Touch,Laptop,FRA,629906.9
20,15,46,28,14,FHD,Non-Touch,Laptop,AUS,332681.685
22,7,23,3,15,FHD,Non-Touch,Laptop,CAN,1421325.36
25,3,41,28,13,QHD+,Touch,Laptop,AUS,679326.48
20,3,56,18,15,FHD,Non-Touch,Desktop,IND,703090.374
22,15,43,26,10,FHD,Non-Touch,Desktop,FRA,663260.472
25,15,4,14,10,FHD,Non-Touch,Desktop,IND,419553.484
